# JianYing Cloud Music Library
# AI Guidance: Use 'music_id' to reference. Sync if not available.
# Schema: identifier,title,duration_s,categories
music_id,title,duration_s,categories
7449292832471353371,22 22,300.0,unknown
7086058997194689311,@摘星.创作的原声,14.0,douyin_collect
7377941058451540004,All the Loving Mothers,223.0,unknown
7377844125078849599,Android Hi Tech,109.0,unknown
6816599730999527426,BCD Studio LI-舞蹈家,43.0,unknown
7442403605276510227,BEATER低音鼓点卡点,202.0,unknown
7273924065054918693,Back To The 80's,119.0,unknown
7306575037883271169,Bad Tavern,62.0,流行
7544252159652972607,Break It Up Groovy Electronic Disco Funk Main,100.37,动感
7444251180123064357,Broken_By_Crime因犯罪而崩溃,155.0,unknown
7547163381062158387,Cafe au Lait 4,233.67,VLOG|冬天
6681198633301314311,Canyons,69.0,unknown
7553582578440898569,China EM2-中国风 电子 欢快 广告 美食 喜庆,130.0,unknown
7503637456512878608,Chrome Reflections,60.0,unknown
7546566666659956763,City Lights and Laughter,199.0,unknown
7546560118449391655,Cruise Control 4,104.0,unknown
7509329737476933649,Deadman,235.8,抖音热门
7273803822581041210,Documentary Piano,140.0,unknown
7274049030760925238,Drink Shop,130.0,unknown
7511325370465978387,Echo of You（剪辑版）,58.0,抖音热门
7377842959488223270,Energy Electronic Sports Music,106.17,动感|混剪|游戏|运动
7420280828541372479,Fashion Modern Cool Funky Groove,105.0,unknown
7306574761856894978,Few Founder,62.5,流行
7538639053123242022,Get The Groove,137.0,unknown
7378194424050075660,Go Groove FunkMain,77.0,unknown
7376283782371969061,Groovy hammond,101.97,搞怪
6990337732224501762,I Close My Eyes,274.0,unknown
6835071483849476098,Illuminate,209.73,影视
7377962949777917993,In The House,108.0,unknown
7377952756664092691,Indie Upbeat Fun,82.77,动感
7377920387685074983,Inspired ambient02,84.0,unknown
7377924387125512255,Inspiring Indie Pop01,130.0,unknown
7120226065443883009,Intro,29.0,周杰伦
7546563445158332454,Island Sway 3,252.0,unknown
6756879114637967368,Lazy Sunday,86.0,unknown
7273803219892717623,Light Breeze,160.0,unknown
7377933297086253119,Light Corporate02,135.0,unknown
7546573332112623662,Light Glow,242.8,国风
7377945756932540452,MINER,64.67,搞怪
6702218139561625601,Mine Mine,60.0,unknown
7274152599690266635,Minimalism Ambient,145.73,冬天
6457797454137199374,Mistério,20.0,unknown
7120226039690692609,Mojito,60.0,unknown
7176685873453500417,More of My Time (Lofi),136.53,VLOG
7546569612776818739,Neon Nights 54,230.0,unknown
7546546694282676275,Neon Reflections,244.6,VLOG
7546548586802579494,Neon Selfie,260.0,unknown
6496750163021171470,Nirvana,38.0,unknown
7123233839295498243,Oh Father,227.77,亲情
7377912733365225508,Optimistic stimulus,164.0,unknown
7546576294136317961,Pastel Dreams,209.0,unknown
7378304248432199691,Pop Groove,126.0,unknown
7377909262616315945,Promotion,251.0,unknown
6764323559209699329,Radio Rota,64.0,unknown
7378229442201995327,Romantic  浪漫,122.13,💘情人节
7094850004280199169,SOSA,60.0,抖音热门
7306574893382289409,Shallow Cultivator,62.0,流行
7377923268424861737,Silhouettes,145.0,unknown
7546549504384813066,Sing It Loud 2,219.0,unknown
7377826610000955411,Sport Motion,111.0,unknown
6782876242568808449,Stargazing,54.97,影视
6956892707935504386,Start Dancing,19.53,卡点|酷炫
7376302138621937691,Stealing the Nights,106.0,unknown
7546536222928259113,Storm Coming,300.0,unknown
7506449178214730536,Strawberry Cream （剪辑版）,22.1,抖音热门
7546536102304270386,Strolling in the Square,260.0,unknown
7376180401461053452,Summer Sea Background,120.0,unknown
7378261774074628108,Summit Regrace,171.0,unknown
7335395405296831242,Take me hand（Zy版全网听）,27.03,抖音热门
7376260393762736139,Tango de Luna,118.0,unknown
7273890326624356412,The Nightowl-CAPPTV (In),216.3,推荐音乐|酷炫
6775058916762978305,Tommorrow,34.0,unknown
7546554645978941479,Tropical Freefall 2,200.0,unknown
7273886682624329789,Tropical House,143.53,VLOG|动感
7546560773692655625,Unbox the Future 2,228.8,游戏|运动
7546810926947764266,Under Your Moonlight,235.0,unknown
7546809322525722687,Under the Moonlight 19,194.0,unknown
7546809102296778771,Under the Moonlight 29,209.0,unknown
7377960157341534271,Unlock Your Productivity,187.0,unknown
7592079041970063366,Vlog 探店,156.0,unknown
7274084264990246969,Walk With Me,64.0,unknown
7546570331697301523,Whispered Blossoms 2,258.97,VLOG|旅行
7546555742032906276,Whispers of the Peak,479.97,推荐音乐
7420046185220229139,Wind Blow (Instrumental),268.0,unknown
7306575101956442114,Winding Veneer,62.0,流行
7546538375345981486,Window Reflections 2,212.0,unknown
7604017933991561999,You And Me_Jamvana/ZEKEN,15000.0,music
7376251386311477275,一本正经地胡说八道,131.0,unknown
6749776297062303745,一路向北,60.0,周杰伦
7274073894435932219,万物复苏的春天,69.23,夏日
7208772324714088450,下一站思念（优美的钢琴曲）,132.73,伤感
7610610237860710417,不只爱情DJ版,19.0,unknown
6704098467305752577,东风破,60.0,unknown
7378286695441254439,中华 美食 优美 清新 风景,149.0,美食
7411446477523847185,中国力量,84.0,unknown
7377838280643430441,中国崛起 大气宣传片,503.53,推荐音乐
7380249181183297548,中国风 古风 舒缓 唯美,115.0,unknown
7429060151720085555,中国风 文化 旅游 宣传,178.7,国风
7429070388778321930,中国风 欢快 轻松 活泼,120.0,unknown
7376275219239553065,中国风 热血 仙侠 国潮,104.0,unknown
7429107524705667082,中国风 舒缓 抒情 平稳,297.07,纯音乐|🧧新春
7377872086175320083,中国风 讲述传说故事,123.0,unknown
7378259431178848265,中国风Future Bass公播音乐,180.0,unknown
7556442314177464329,为梦拼搏，铸就非凡,120.0,unknown
7377869957394073612,乐观活力  Upbeat Energetic,121.9,卡点
7500947992883579657,九万字（我爱你苍凉双眼留有余温）,39.0,unknown
7448276270120568868,产品展示,100.0,unknown
7442402363027785737,亲子欢乐时光曲,60.0,亲情
7491939580598683687,亲密 深情 温暖 Warm Melody,122.0,unknown
7507601606154767123,亲爱的你啊（徐远书剪辑版）,27.0,unknown
7554249175651633202,人间归途,155.0,unknown
7390279383657859073,亿点点偷感（可爱无厘头bgm）,60.0,抖音热门
7605071549234235411,今日甜度满分-全曲,206.0,unknown
7287792585622620195,他乡的酒家乡的粥,226.0,unknown
6703902197693810690,以父之名,60.0,unknown
7419391950979844133,企业宣传片明亮轻快 成功时刻,228.0,推荐音乐
7556821689625757759,企业宣传背景音乐 - 积极活力 - 砥砺前行,192.0,unknown
7377840886598043675,企业形象励志进取  Inspiring  Uplifting Motivational Corporate,140.0,unknown
7377916417377077311,企业形象科技进取创新  Daily Victories,138.13,混剪
7377847594314287123,企业形象进取创新  Upbeat Corporate Motivational,130.57,VLOG
7376161021164374053,企业形象阳光拼搏  Inspiring Uplifting Corporate,149.43,清新|轻快
7376261045767227429,企业青春励志阳光  Good News,129.23,运动
7377893381073324086,休闲之选爵士咖啡  Leisure Choice Jazz Coffee,121.0,unknown
7420092483989669929,传统美食灵动轻盈-巧手烹制（弦乐、民乐）,85.0,unknown
7401045634000537617,你失去了什么,126.0,unknown
7491897799446235172,倒计时 震撼 开场 预告,50.0,unknown
7478872354421491724,做最好的自己,155.0,unknown
7444165953543669810,元宵团圆温馨曲,60.0,unknown
7444169997704841242,元宵温馨团圆曲,60.0,unknown
7448458972345419788,充满活力的推广,111.43,卡点
7452924543906662412,充满活力的放克流行音乐,101.0,unknown
7401479807382341648,克拉里斯wg,168.97,轻快
7274002978217674764,公益宣传温暖自由幸福 - Calm Cute Piano,72.0,unknown
7273832735306434618,公益广告温馨叙事 - Documentary Motivational Inspiring Uplifting Main,180.0,unknown
7274154019756820538,公益广告温馨叙事 - Soft Inspirational Piano,168.0,unknown
7433407982828111883,冬日浪漫情歌,60.0,unknown
7586529904226830377,冬至新年 温暖幸福中国节传统乐器,112.5,🧧新春
7444140263105316914,冬至温馨团圆,60.0,亲情
7274050348452087819,准备出发,69.6,旅行
7444176812393809946,初雪的静美之音,60.0,unknown
7377896663028140071,剧情影视温馨浪漫愉悦  SpringWaltz,78.17,💘情人节
7377894081046808617,剧情忧伤的人们,220.0,unknown
7376298933192411186,剧情感宁静舒缓弦乐  Peaceful Garden,417.6,冬天
7376259871501764644,剧情感宁静舒缓自由 Wanderscape,139.37,冬天
7376186268457846821,剧情搞怪诙谐幽默  The Giraffe Comedy,87.0,unknown
7378208260270311465,剧情有趣可爱  French Cuisine,130.3,可爱|萌宠|轻快
7376232599881353270,剧情诙谐幽默紧张  Belly of the Whale,102.0,unknown
7444118106282592266,动态影视摇滚曲,60.0,unknown
7493033115037976614,动感 Vlog 旋律,60.0,unknown
7442393691232733194,动感摇滚之旅,60.0,unknown
7376275096971561011,励志进取企业宣传  振奋人心钢琴  Emotive Piano,107.0,unknown
7449279061803321371,医疗保健,75.0,unknown
7592079909348280326,午后 吉他 阳光 轻松（午后音乐）,144.07,✨最新|推荐音乐|清新
6797687703249897473,半兽人,60.0,unknown
6704099387049510913,半岛铁盒,60.0,unknown
7378199821792479244,华尔兹手风琴古典  Little Paris,134.27,可爱|萌宠
7551306910566434851,单车（Cover 陈奕迅）,212.0,unknown
7551407796177291279,单车（Cover 陈奕迅）,203.0,unknown
7475343673207589686,卡农 in Love（片段）,41.0,unknown
7377935395164031015,卡点开心纯音乐欢快正能量,144.0,unknown
7449276669758867483,危险升级 - 完整长度,200.0,推荐音乐
7377830153311094835,压迫背景危险来临,88.0,unknown
7442287916827199514,厨房温馨协奏曲,60.0,unknown
6817732923878279169,双截棍,60.0,unknown
7376286564488022054,叙事钢琴曲  Ishtar,380.67,推荐音乐|舒缓
7378240586471802921,叙述故事钢琴,146.0,unknown
7493093906495047707,口播励志之声,60.0,unknown
7491916574502324275,古典 中国风 古韵 悠扬 抒情 悠闲  six,118.0,unknown
7451544800148916233,古风 喜庆 节日盛典,104.03,🧧新春
7380251313567402023,古风 舒缓 叙事 恬静,139.0,国风
7378269560334878747,古风交响 大气 历史沧桑与磅礴感,201.0,unknown
7274137805181225020,古风剧情影视自由愉悦 - 赏荷记,131.0,unknown
7420080182897920011,古风国潮-春风渡,175.33,国风
7377840722671880242,古风悲伤紧张急促  Autumn,114.0,unknown
7377866439233488906,古风热血好斗正气  武侠 动作 紧张 磅礴 大气 中国风  决战华山之巅,205.0,unknown
6702218125842057217,可爱女人,60.0,周杰伦
7377838447761213490,可爱宝宝  Cute Baby,98.27,可爱|萌宠
7378259258019973158,可爱温馨  中国风Beat,199.8,🧧新春
7433426367347722279,可爱灵动搞怪 节奏感,60.0,流行
7376164934629738505,可爱童真节奏  Happy Ukulele Fun Kids,146.53,可爱|萌宠
7274161168767469631,可爱萌萌哒,104.47,搞怪
7378251100158183433,史诗大气战争  Epic Dramatic Music,222.0,unknown
7491895148806359091,史诗紧张氛围剧情 Epic Action Rock Trailer,149.0,unknown
7377919373934184467,向往美好生活  Sunny Side of the Stream,112.0,unknown
6817732853170718721,听妈妈的话,60.0,unknown
7594660176638298150,听雪融化 伤感安静钢琴,88.23,✨最新|冬天
7556097575489423398,唤醒（Phonk）,182.4,推荐音乐|混剪
7419373771465312272,商务 明亮轻快  活力 自信 企业-属于自己的舞台,180.0,推荐音乐
7377843352954243081,商务宣传 科技 产品展示,113.4,推荐音乐
7428291025469736996,喂声 惊叹,1.07,搞怪
7492239744664782899,喜剧幽默搞笑古风  eighteen,53.0,unknown
7492240950598846514,喜剧幽默搞笑古风  four,74.47,搞怪
7376171441770334234,喜庆中国传统节日  中国节日 欢喜 春节中秋节端午节七夕节元宵节新年,90.9,🧧新春
6749776297750169602,四面楚歌,60.0,unknown
6703901823670945794,回到过去,60.0,unknown
6550916551128648455,回家,261.0,unknown
7190198288698574849,回家的崽,310.0,unknown
7190198299624736769,回家的崽 (伴奏),310.0,unknown
7378207444276971561,回忆故事抒情  Cinematic Picture,292.07,伤感
6702218141105129473,园游会,60.0,unknown
7442422849832814601,国庆激昂盛典,60.0,unknown
7376261237067810879,国潮 水墨 炸裂,67.0,unknown
7378253182076356658,国潮 端午春节过年  喜庆热闹 中国风,190.57,🧧新春
7274142474942253093,国潮说唱水墨炫酷China炸裂民乐中国风片头大气电子,57.0,unknown
7491899554176141349,国风 入山符 门派初见 场景音乐,80.0,unknown
7429121841686743067,国风 洒脱 律动 宣传片,115.0,unknown
7376166723030009882,国风宫殿庄重宴请  庄严 唯美 古风,152.13,国风
7140215420887238658,在赛博朋克中,150.5,卡点
7553853907223775273,坏男孩（慢速+国士无双）,213.0,unknown
7377928309395556393,坚韧的灵魂,148.0,unknown
7426488581685184551,坚韧的灵魂,148.0,unknown
7442317749097285683,壮丽山河交响乐,60.0,影视
7380261023675074572,复古 浪漫 优雅 华尔兹,156.0,unknown
7059618441342257154,夏天,166.0,unknown
7491891370807412763,夏日之梦热情律动,74.0,unknown
7433494001050716179,夏日欢庆旋律,60.0,unknown
7442332477220358194,夜思轻音宁静,60.0,亲情
6749776297473361922,夜曲,60.0,unknown
6702218118229411842,夜的第七章,60.0,unknown
7590209615511210026,大气史诗国风宫阙s高潮完整版,166.97,✨最新|国风
7378240053595097142,大气宣传  小提琴史诗,137.0,unknown
7377838878989813787,大气震撼 史诗宣传 励志,326.43,夏日|推荐音乐|游戏
7351681288291878950,天空之上,60.0,unknown
7556444117095335975,奈良春日,163.8,治愈|舒缓
7377926071503669260,奋斗  Corporate Motivational,160.67,运动
7377585214069590042,奢华生活  Stylish Funk01,145.73,VLOG
7452932405427554341,好心情,157.53,VLOG
7376278557478193171,好感觉  Good Feeling,114.0,unknown
7376237956272375862,好斗急躁节奏卡点  Cyberpunk Cinematic Trailer,149.07,动感
7060525959316834318,妈妈陪你一起长大（钢琴曲）,69.0,unknown
7556101601682147366,娃娃（庞克）,103.0,unknown
7401479807383554064,娜塔莉,240.0,unknown
7376211780336371739,孤零  Isolated,108.2,伤感
7376189385343633434,宁静放松纯净安静  Calm Piano Beauty,168.27,冬天|治愈|舒缓
7442373593482905650,宁静时光钢琴曲,60.0,unknown
7273774064458549304,宁静舒缓岁月静好 - Walking in the Grass,241.0,unknown
7376244159882463282,宁静舒缓木吉他  Travelers Jot,60.0,unknown
7273794656004442170,宁静舒缓钢琴弦乐 - Inspirational Moment,179.0,unknown
7273849169918674999,宁静钢琴独奏 - 007 Gianfranco Barbera - Girotondo,364.27,冬天
7144983837390178306,安静的复苏（舒缓钢琴曲）,139.63,旅行
7378278153687500841,安静舒缓的钢琴曲19,201.97,推荐音乐|舒缓
7444194474611247131,宏伟世界交响乐,60.0,影视
7592079422733092927,宣传片 鼓点,158.07,卡点
7376158659254945811,宣传片充满希望的背景,210.3,推荐音乐
7377931567359084556,宣传片励志摇滚热血  Going back to Business,116.0,夏日|旅行
7273789333734311992,宣传片温馨美好健康 - A Tale of Beauty,141.13,冬天
6832516742900631560,家《Home》古典吉他,245.47,亲情
7153501573267834893,家的感觉,69.63,亲情
7457715181004359681,家（伴奏）,302.83,亲情
7590276342487287844,对白幽默搞笑,118.0,unknown
6702218139465156610,将军,60.0,unknown
7537561777603708954,小时光,241.0,unknown
7419332621832112144,小清新可爱广告剧情-像向日葵一样,151.77,可爱|萌宠
7491896298539780105,少侠请留步 中国风 文化 有趣,137.0,unknown
7401620372792199169,尼古拉,96.0,unknown
7590295203321088041,平静放松 Quiet relaxing music by moonlight一,190.93,✨最新
7590293851756447780,年轻律动 青春活力 积极阳光自信 商务展示,335.0,unknown
7444258064884205606,幸福的感觉_独立日,135.0,unknown
7592079836189968438,幽深 宁静 钢琴（深夜音乐）,165.23,✨最新
7376251368799193114,幽默场景的配乐,96.0,unknown
7592079489259538486,广告宣传片 行驶乐趣,114.0,unknown
7376218772820690994,广告欢乐趣味口哨  trolling Whistle,127.0,unknown
